ID	Original Text	Translated Text
392	Thank you. Youâ€™re doing me a tremendous service. From what I know of Sargastia Tribulen, your best chance to find it would be on a planet with an acidic atmosphere. Itâ€™s usually a green, gelatinous substance that gives off a faint glow. As for Waxthorn, it is most likely to be found on planets that are arid or extremely hot. The thorn on the Waxthornâ€™s pod has been known to cause unpredictable and even lethal effects. Please, exercise caution and it shouldnâ€™t pose you any harm. When you acquire both research samples, bring them back here. Iâ€™ll pay you well for all your trouble.	Merci. Vous me rendez un grand service. De ce que je sais de Sargastia Tribulen, votre meilleure chance de le trouver serait sur une planète avec une atmosphère acide. C'est généralement une substance verte et gélatineuse qui émet une faible lueur. Quant au Waxthorn, il est plus probable de le trouver sur des planètes arides ou extrêmement chaudes. L'épine de la cosse du Waxthorn est connue pour provoquer des effets imprévisibles, voire mortels. S'il vous plaît, soyez prudent et cela ne devrait pas vous faire de mal. Quand vous aurez obtenu les deux échantillons de recherche, ramenez-les ici. Je vous paierai bien pour tous vos efforts.
393	Well, thank you for listening nonetheless. Take care of your crew.	Eh bien, merci d'avoir écouté quand même. Prenez soin de votre équipage.
394	If you donâ€™t mind lending your assistance once more, thereâ€™s something I need. Have you ever heard of Sargastia Tribulen or Waxthorn? Theyâ€™re plant materials, of a sort.  Those two specimens are vital to my research. Unfortunately, I canâ€™t procure either of those materials here in Outpost 448. Theyâ€™re too rare or too dangerous to acquire by normal means. If you could bring me those samples, I would greatly appreciate it	Si ça ne vous dérange pas de me prêter votre aide une fois de plus, il y a quelque chose dont j'ai besoin. As-tu déjà entendu parler de Sargastia Tribulen ou de Waxthorn ? Ce sont des matières végétales, en quelque sorte.  Ces deux spécimens sont vitaux pour mes recherches. Malheureusement, je ne peux me procurer aucune de ces matières ici dans l'avant-poste 448. Ils sont trop rares ou trop dangereux pour être acquis par des moyens normaux. Si vous pouviez m'apporter ces échantillons, je vous en serais très reconnaissant.
395	These are wonderful specimensâ€¦ Thank you for bringing them to me. Please, take these credits as a reward.	Ce sont de merveilleux spécimens. Merci de me les avoir apportés. S'il vous plaît, prenez ces crédits comme une récompense.
396	Hello again. Do you have the research samples?	Rebonjour. Avez-vous les échantillons de recherche ?
397	My research is going quite well, thanks to you.	Mes recherches avancent bien, grâce à vous.
398	I still havenâ€™t forgotten your help in searching for my friend. I can never thank you enough for bringing me some kind of closure. Hopefully your travels throughout the galaxy will be safe and successful.	Je n'ai toujours pas oublié votre aide dans la recherche de mon ami. Je ne pourrai jamais vous remercier assez de m'avoir permis de tourner la page. J'espère que vos voyages à travers la galaxie seront sûrs et réussis.
399	I used to be a botanist for the Colonial Union Habitation Division. I would travel to different worlds, assessing the habitability of terraformed planets. I've seen some strange things happen. When you try to control the natural world to your will, sometimes it comes back to bite you.	J'étais botaniste pour la division des habitations de l'Union coloniale. Je voyageais sur différents mondes, évaluant l'habitabilité des planètes terraformées. J'ai vu des choses étranges se produire. Quand vous essayez de contrôler le monde naturel à votre guise, parfois ça vous retombe dessus.
400	It's not as cold as I like it, but at least it beats the cooling systems in my suit.	Ce n'est pas aussi froid que je l'aime, mais au moins ça bat les systèmes de refroidissement de ma combinaison.
401	You're one of the few officers who have been briefed on the situation with the Outpost 448 research wing, am I right? I'll confess: I saw you entering the Command Center earlier. There aren't too many people going in or out of there lately, so it's easy to pinpoint who knows what happened with the research wing. Don't worry, I won't press you for information. I know you officers in the Command Center have your hands full. Just don't forget that we regular folk can lend our help too. It is ^Together, we survive,^ after all.	Vous êtes l'un des rares officiers à avoir été mis au courant de la situation de l'aile de recherche de l'avant-poste 448, n'est-ce pas ? Je dois avouer que je vous ai vu entrer dans le centre de commandement tout à l'heure. Il n'y a pas beaucoup de gens qui y entrent ou en sortent ces derniers temps, il est donc facile de savoir qui sait ce qui s'est passé avec l'aile de recherche. Ne vous inquiétez pas, je ne vous presserai pas pour des informations. Je sais que vous, les officiers du centre de commandement, êtes très occupés. Mais n'oubliez pas que nous, les gens ordinaires, pouvons aussi vous aider. C'est ensemble que nous survivons, après tout.
402	I was out on an assignment when it happened, and I haven't been briefed further. I hope my captain will receive a report about it soon and explain things to us, but until then, I'm as in the dark as everyone else.	J'étais en mission quand c'est arrivé, et je n'ai pas été briefé davantage. J'espère que mon capitaine recevra bientôt un rapport à ce sujet et qu'il nous expliquera les choses, mais en attendant, je suis dans le noir comme tout le monde.
403	The residents of Outpost 448 seem especially tense lately, no doubt due to the wreckage of the research wing. I'm sure the top officers are handling the situation as best they can, but their assurances that everything is fine aren't helping to ease people's fears.	Les résidents de l'avant-poste 448 semblent particulièrement tendus ces derniers temps, sans doute à cause de l'épave de l'aile de recherche. Je suis sûr que les officiers supérieurs gèrent la situation du mieux qu'ils peuvent, mais leurs assurances que tout va bien n'aident pas à apaiser les craintes des gens.
404	I know you. You're one of the officers who have been in the Command Center's good graces lately. You know something about the Wasted Wing, don't you? Why don't you tell everyone what's going on?	Je vous connais. Vous êtes l'un des officiers qui ont été dans les bonnes grâces du centre de commandement ces derniers temps. Vous savez quelque chose sur l'Aile perdue, n'est-ce pas ? Pourquoi ne pas dire à tout le monde ce qui se passe ?
405	Have you heard about the Wasted Wing? I'm sure you saw it when you warped into the sector. It's alarming. One minute everything was running normally, and the next there was a massive explosion that rocked the entire station. The research wing is completely inaccessible. People have calmed down since the initial shock, but there are too many questions going unanswered by the Command Center. I don't mean to cast doubt on Colonial Union command, but I believe there is definitely a reason for concern.	Avez-vous entendu parler de l'Aile perdue ? Je suis sûr que vous l'avez vu quand vous avez fait le saut dans le secteur. C'est alarmant. Une minute tout fonctionnait normalement, et la suivante il y a eu une explosion massive qui a secoué la station entière. L'aile de recherche est complètement inaccessible. Les gens se sont calmés depuis le choc initial, mais il y a trop de questions qui restent sans réponse au centre de commandement. Je ne veux pas jeter le doute sur le commandement de l'Union coloniale, mais je crois qu'il y a vraiment lieu de s'inquiéter.
406	All those atrium conspiracies are unnerving. I havenâ€™t had to use one yet. Have you? Something about the whole process seemsâ€¦unreliable.	Tous ces complots dans l'atrium sont déconcertants. Je n'ai pas encore eu à en utiliser une. Et toi ? Quelque chose à propos du processus entier semble... peu fiable.
407	Our ship was raided by those damn Alliance â€˜gentlemenâ€™. They siphoned all our credits and stripped our ship of its most valuable components and cargo. Left us dead in the water until a civilian ship caught our distress beacon. Those bastards wonâ€™t get away with this.	"Notre vaisseau a été attaqué par ces satanés ""gentlemen"" de l'Alliance. Ils ont siphonné tous nos crédits et dépouillé notre vaisseau de ses composants et de sa cargaison les plus précieux. Ils nous ont laissés morts dans l'eau jusqu'à ce qu'un vaisseau civil capte notre balise de détresse. Ces bâtards ne s'en sortiront pas comme ça."
408	â€¦Look, whatever it is you want, I canâ€™t help you. Iâ€™m busy, okay?	Ecoute, peu importe ce que tu veux, je ne peux pas t'aider. Je suis occupé, ok ?
409	From what I understand, your crew participated in an important mission for the Command Center. Some citizens of Outpost 448 speculate that it was related to the Wasted Wing. I don't know if that's the truth, but I hope you were able to help. Thank you for your service.	D'après ce que j'ai compris, votre équipage a participé à une mission importante pour le centre de commandement. Certains citoyens de l'avant-poste 448 pensent que c'était lié à l'Aile perdue. Je ne sais pas si c'est vrai, mais j'espère que vous avez pu aider. Merci pour votre service.
